Year Month,Postal Code,Customer Class,Total Gallons
2012/05,78721,Residential,16305000
2012/05,78722,Multi-Family,2648400
2012/05,78722,Residential,10666800
2012/05,78722,Irrigation - Multi-Family,0
2012/05,78723,Residential,39491200
2012/05,78723,Irrigation - Multi-Family,128000
2012/05,78723,Multi-Family,19932400
2012/05,78724,Irrigation - Residential,34300
2012/05,78724,Multi-Family,11091500
2012/05,78724,Residential,21470900
2012/05,78724,Irrigation - Multi-Family,35600
2012/05,78725,Multi-Family,244500
2012/05,78725,Residential,2383700
2012/05,78726,Irrigation - Residential,85100
2012/05,78726,Multi-Family,11411400
2012/05,78726,Irrigation - Multi-Family,3665800
2012/05,78726,Residential,26327300
2012/05,78727,Irrigation - Residential,7900
2012/05,78727,Irrigation - Multi-Family,4427500
2012/05,78727,Residential,53296100
2012/05,78727,Multi-Family,17831600
2012/05,78728,Irrigation - Multi-Family,1627700
2012/05,78728,Multi-Family,7424200
2012/05,78728,Residential,5029000
2012/05,78729,Residential,28432900
2012/05,78729,Multi-Family,22313400
2012/05,78729,Irrigation - Multi-Family,2048900
2012/05,78729,Irrigation - Residential,27400
2012/05,78730,Residential,21572900
2012/05,78730,Irrigation - Residential,207800
2012/05,78730,Multi-Family,4550800
2012/05,78730,Irrigation - Multi-Family,2667300
2012/05,78731,Multi-Family,18808300
2012/05,78731,Residential,85101400
2012/05,78731,Irrigation - Multi-Family,973200
2012/05,78731,Irrigation - Residential,531000
2012/05,78735,Multi-Family,10388000
2012/05,78735,Residential,30014100
2012/05,78735,Irrigation - Multi-Family,1693000
2012/05,78736,Irrigation - Multi-Family,319500
2012/05,78736,Multi-Family,2335200
2012/05,78736,Residential,17419200
2012/05,78736,Irrigation - Residential,19100
2012/05,78737,Residential,10783800
2012/05,78737,Irrigation - Residential,5700
2012/05,78738,Residential,9700
2012/05,78739,Irrigation - Residential,0
2012/05,78739,Residential,59998500
